rowid,Class,Position,Sail Number,Sailor,Boat Name,Club,Division,Points,R1,R2,R3,R4,R5,R6,R7,R8,sailor_count
51,Opti Champ,26,USA 13129,Ian Carlin,NA,Manchester Sailing Association,Red,154,25,26,23,-28,27,25,24,4,1
52,Opti Champ,26,USA 13129,NA,NA,Manchester Sailing Association,NA,154,25,26,23,-28,27,25,24,4,2
53,Opti Champ,27,USA 10912,Justin Kaminsky,NA,Pleon,Blue,160,21,15,22,(RET-35),20,32,28,22,1
54,Opti Champ,27,USA 10912,NA,NA,Pleon,NA,160,21,15,22,(RET-35),20,32,28,22,2
55,Opti Champ,28,USA 1,Marlew Herlihy,NA,Sandy Bay Yacht Club,White,170,30,-33,31,18,24,13,29,25,1
56,Opti Champ,28,USA 1,NA,NA,Sandy Bay Yacht Club,NA,170,30,-33,31,18,24,13,29,25,2
57,Opti Champ,29,USA 16544,Sander ianchulev,Orca,Pleon YC,Blue,176,32,24,-33,19,30,20,25,26,1
58,Opti Champ,29,USA 16544,NA,Orca,Pleon YC,NA,176,32,24,-33,19,30,20,25,26,2
59,Opti Champ,30,USA 18650,Courtney Hoguet,NA,Pleon Yacht Club,Blue,180,23,-34,30,30,28,23,19,27,1
60,Opti Champ,30,USA 18650,NA,NA,Pleon Yacht Club,NA,180,23,-34,30,30,28,23,19,27,2
61,Opti Champ,31,USA 9208,Ava Laham,NA,Pleon,Blue,183,-34,29,32,29,7,29,26,31,1
62,Opti Champ,31,USA 9208,NA,NA,Pleon,NA,183,-34,29,32,29,7,29,26,31,2
63,Opti Champ,32,USA 13271,Harrison Mechem,NA,Annisquam Yacht Club,Red,186,-33,19,26,26,21,31,33,30,1
64,Opti Champ,32,USA 13271,NA,NA,Annisquam Yacht Club,NA,186,-33,19,26,26,21,31,33,30,2
65,Opti Champ,33,USA 19758,Teak Winslow,Trex,Hingham Yacht Club,Blue,200,28,32,19,(DNS-35),31,30,32,28,1
66,Opti Champ,33,USA 19758,NA,Trex,Hingham Yacht Club,NA,200,28,32,19,(DNS-35),31,30,32,28,2
67,Opti Champ,34,USA 731,Sebastian Francis,NA,SailMaine,Blue,214,27,31,25,32,(DNF-35),33,31,DNF-35,1
68,Opti Champ,34,USA 731,NA,NA,SailMaine,NA,214,27,31,25,32,(DNF-35),33,31,DNF-35,2
